Title,Imdb_Score,Imdb_Votes,FA_Score,FA_Votes,Metacritic_Score,Average_Score,Total_Votes
Planet Earth II,9.4,166414,8.9,4596,9.6,9.3,171010
The Wire,9.3,402898,8.8,50549,9.1,9.07,453447
The Sopranos,9.2,523915,8.5,60476,9.4,9.03,584391
Breaking Bad,9.5,2328705,8.8,106135,8.7,9,2434840
Band of Brothers,9.4,561514,8.5,62566,8.7,8.87,624080
Frozen Planet,9,35606,8.3,1084,9.1,8.8,36690
Game of Thrones,9.2,2431950,8.5,115855,8.6,8.77,2547805
The Vietnam War,9.1,31386,8.2,1194,9,8.77,32580
Bluey,9.3,38408,8.2,1893,N/A,8.75,40301
The Last Dance,9,166424,8.2,16375,9,8.73,182799
Our Planet,9.2,56709,8.5,3276,8.4,8.7,59985
Fullmetal Alchemist: Brotherhood,9.1,220924,8.3,12106,N/A,8.7,233030
Chernobyl,9.3,948652,8.5,52452,8.2,8.67,1001104
Rick and Morty,9.1,649173,8.3,32222,8.5,8.63,681395
The Simpsons,8.6,453268,8.6,173009,8.7,8.63,626277
Dekalog: The Ten Commandments,8.9,30707,8.3,2616,N/A,8.6,33323
Frieren: Beyond Journey's End,8.9,41343,8.3,1413,N/A,8.6,42756
Monty Python's Flying Circus,8.8,82459,8.4,12983,N/A,8.6,95442
Sherlock,9,1047740,8,43722,8.8,8.6,1091462
Arcane: League of Legends,9,394530,8.2,15753,8.6,8.6,410283
Fleabag,8.7,226812,7.8,21179,9.2,8.57,247991
Avatar: The Last Airbender,9.3,405797,7.8,7239,N/A,8.55,413036
Hunter x Hunter,9,163567,8.1,2783,N/A,8.55,166350
Death Note,8.9,424665,8.2,44014,N/A,8.55,468679
"I, Claudius",8.8,20931,8.3,9746,N/A,8.55,30677
Better Call Saul,9,730514,8,30164,8.6,8.53,760678
The Beatles: Get Back,8.9,32145,8.2,2810,8.5,8.53,34955
Blue Eye Samurai,8.7,90980,8.1,7431,8.8,8.53,98411
The Twilight Zone,9,100507,8,4421,N/A,8.5,104928
Attack on Titan,9.1,609122,7.9,18576,N/A,8.5,627698
Freaks and Geeks,8.8,159773,7.9,7964,8.8,8.5,167737
The Shield,8.7,92976,7.9,8388,8.9,8.5,101364
Atlanta,8.6,94227,7.7,3955,9.2,8.5,98182
Borgen,8.5,31000,7.9,7548,9.1,8.5,38548
Fargo,8.8,444554,8.2,43197,8.4,8.47,487751
Succession,8.8,316737,8,19426,8.6,8.47,336163
It's a Sin,8.6,39288,7.7,6491,9.1,8.47,45779
Gravity Falls,8.9,156594,8,4187,N/A,8.45,160781
Cowboy Bebop,8.9,153770,8,17501,N/A,8.45,171271
When They See Us,8.8,147981,7.9,14693,8.6,8.43,162674
My Brilliant Friend,8.6,21603,7.8,3374,8.9,8.43,24977
Mad Men,8.7,274943,7.9,34901,8.6,8.4,309844
The Night Of,8.4,183000,7.8,22577,9,8.4,205577
Severance,8.7,315058,7.9,14235,8.5,8.37,329293
Scavengers Reign,8.6,29798,8.1,1199,8.4,8.37,30997
Steins;Gate,8.8,82690,7.9,3614,N/A,8.35,86304
Over the Garden Wall,8.7,80201,8,7102,N/A,8.35,87303
BoJack Horseman,8.8,210009,8,12428,8.2,8.33,222437
House of Cards,8.6,546757,7.9,30486,8.5,8.33,577243
Line of Duty,8.7,75749,7.7,4023,8.6,8.33,79772
