Title,average_rating
Breaking Bad,9.31
The Wire,9.22
Band of Brothers,9.19
The Sopranos,9.18
Chernobyl,9.18
Avatar: The Last Airbender,9.16
Planet Earth II,9.07
Frieren: Beyond Journey's End,9.02
Fullmetal Alchemist: Brotherhood,9.01
Better Call Saul,9
Arcane: League of Legends,8.98
Death Note,8.98
Fleabag,8.97
Cowboy Bebop,8.95
The Last Dance,8.93
Freaks and Geeks,8.92
Game of Thrones,8.91
Blue Eye Samurai,8.91
Gravity Falls,8.9
The Twilight Zone,8.86
Attack on Titan,8.81
Scavengers Reign,8.81
The Night Of,8.8
Over the Garden Wall,8.8
Succession,8.79
The Vietnam War,8.78
Fargo,8.76
Severance,8.76
Mad Men,8.74
Our Planet,8.72
Sherlock,8.72
Rick and Morty,8.71
When They See Us,8.7
Line of Duty,8.7
Hunter x Hunter,8.69
Atlanta,8.69
Monty Python's Flying Circus,8.66
The Shield,8.66
Steins;Gate,8.66
Borgen,8.62
BoJack Horseman,8.6
Frozen Planet,8.59
It's a Sin,8.57
The Beatles: Get Back,8.56
My Brilliant Friend,8.47
"I, Claudius",8.41
The Simpsons,8.39
Bluey,8.17
House of Cards,8.17
Dekalog: The Ten Commandments,8.15
