Title,weighted_rating
Breaking Bad,9.32
The Wire,9.23
Band of Brothers,9.2
The Sopranos,9.17
Chernobyl,9.17
Avatar: The Last Airbender,9.17
Planet Earth II,9.11
Fullmetal Alchemist: Brotherhood,9.04
Frieren: Beyond Journey's End,9.04
Arcane: League of Legends,8.99
Better Call Saul,8.98
The Last Dance,8.95
Game of Thrones,8.94
Fleabag,8.94
Death Note,8.94
Cowboy Bebop,8.92
Freaks and Geeks,8.9
Gravity Falls,8.9
Blue Eye Samurai,8.89
The Twilight Zone,8.86
Attack on Titan,8.82
The Vietnam War,8.81
Succession,8.79
Our Planet,8.78
Scavengers Reign,8.78
Hunter x Hunter,8.77
Over the Garden Wall,8.77
Fargo,8.76
Severance,8.76
Rick and Morty,8.75
Sherlock,8.74
The Night Of,8.74
Steins;Gate,8.73
When They See Us,8.72
Mad Men,8.72
Monty Python's Flying Circus,8.69
Atlanta,8.69
Line of Duty,8.69
Frozen Planet,8.64
The Shield,8.64
Borgen,8.62
The Beatles: Get Back,8.6
BoJack Horseman,8.6
It's a Sin,8.59
My Brilliant Friend,8.49
"I, Claudius",8.46
The Simpsons,8.42
Bluey,8.33
Dekalog: The Ten Commandments,8.27
House of Cards,8.22
